Question,Answer,Category
"This is a claim against a property by a party that is not the owner. Mortgages, easements, deed restrictions, encroachments and property tax liens are Examples. What's that called?",An encumbrance,Thursday
What's a Property survey?,"Done to determine or confirm land boundaries, such as the plot of land a home sits on, and any sub-surface improvements.",Friday
What gives the right to use someone else's property for a specific purpose?,An easement,Friday
What's it called where a property owner violates the property rights of his neighbor by building on or extending a structure onto the neighbor's land or property?,An Encroachment,Friday
What is a document that establishes ownership over a property? It is a legal document that transfers ownership of the property from the grantor to the grantee.,A deed,Thursday
Who is the Grantor?,The Grantor is the owner of the property is someone who transfers a property right to a grantee.,Thursday
Who is the Grantee?,"Grantee is the party who receives the transfer of the property. In other words, the grantee is the buyer.",Thursday
What is a promise in a mortgage or deed that requires or prevents certain uses of the property? It applies to all owners of the property.,Covenant,Thursday
"What is a noting in the public record, the terms of a legal document affecting title to real property such as a deed, a security instrument, a satisfaction of mortgage or an extension of mortgage?",Recording,Thursday
"What type of deed is used to transfer property between familiar parties, such as family members or even divorced spouses?",Quitclaim Deed,Thursday
What is a legal agreement between a trustor and beneficiary made at the end of the home buying process?,A deed of trust,Thursday
"What type of deed is used to offer various legal protections to the grantor, in the event thereâ€™s a problem or defect with the title once itâ€™s been transferred?",Warranty Deeds,Thursday
"What is a specific deed type that transfers the interest in a property from the seller to the buyer in exchange for a previously agreed upon price? While it guarantees that the seller owns the property entirely, it only offers the buyer legal protection against any unknown title defects.",Grant Deed,Thursday
This type of deed offers no guarantee that the property is free of debts or liens and only states that the grantor is the title-holder? Grantee acquires any lien against the property along with the title. Commonly used when purchasing a home in a foreclosure.,Bargain and Sale Deed,Thursday
"What type of deed is a document signed between a homeowner and a bank or lending institution, allowing said institution to enforce the lien on the property if the loan isnâ€™t repaid?",Mortgage Deed,Thursday
What type of deed transfers the legal title of a property to the trustor from the trustee when the note is paid off? The trustor is the borrower of debt for the purchase of the property.,Reconveyance deed,Thursday
What is a Deed Restriction?,Deed Restriction is a limitation on how a property can be used. Deed restrictions can limit what is built or certain activities that would be pursued on the property.,Thursday
"What is the part of a deed called, that describes and defines the property and has to cover the parcel of land with accuracy and precision to be easily identified and located?",The legal description,Thursday
What are 4 types of legal descriptions for properties?,â— The US Public Land Survey System â— The Lot and Block survey system â— Metes and Bounds â— Monument Method,Friday
What are Lien Theory jurisdictions?,The Borrower will hold legal title to the real estate property for the life of the mortgage. The mortgage agreement serves as the lenderâ€™s lien on the property until the loan is paid back completely.,Thursday
What are Title Theory jurisdictions?,"The Lender conveys the equitable title to the buyer who will then issue a Deed of Trust naming the lender as the beneficiary of the trust. The legal title to the property is held by the trustee, who is given the power to foreclose should the buyer fail to comply with the terms of the mortgage agreement.",Thursday
What is a promissory note?,is a financial instrument that shows legal evidence and contains a written promise by the borrower (maker/payor) to the lender (payee) a definite sum of money.,Thursday
What's included in the promissory note?,â— The date the promise to repay is effective â— The principal that identifies the amount of the money borrowed by the payor. â— The interest rate being charged is stated â— The date the first payment is due. â— The date of the last payment of an amortized loan,Wednesday
What is a Mortgage?,A voluntary lien in which the property serves as collateral. Mortgages have judicial foreclosure and require court action to foreclose on the property.,Thursday
Who are the 2 parties in a Mortgage?,â— Mortgagor (Borrower) â— Mortgagee (Lender),Thursday
"In a mortgage what is the party called that promises to repay the loan as well as the property tax, hazard insurance and keeps the property in proper upkeep? If they fail to do any of the above they are in default and property can be foreclosed on.",Mortgagor (Borrower),Thursday
Who is an entity that lends money to a borrower for the purpose of purchasing real estate? They hold the mortgage and the note.,Mortgagee (Lender),Thursday
What is a document confirming that the borrower has paid off the mortgage in full and that the mortgage is no longer a lien on the property called?,Satisfaction of mortgage,Thursday
Who are the 3 parties in Trust deeds?,â— The Trustor (Borrower) â— Trustee (Disinterested third party) â— Beneficiary (Lender),Thursday
Who holds the Equitable title in trust deeds?,The Trustor (Borrower),Thursday
Who is the disinterested third party that holds the legal title until the loan is paid off?,Trustee (Disinterested third party),Thursday
Who holds the deed of trust and the note?,Beneficiary (Lender),Thursday
What is included in a deed of trust?,"â— The original loan amount â— A legal description of the property â— The names of parties: trustee, trustor, and beneficiary â— The maturity date of the loan â— The requirements of the loan â— Any late fees that could be assessed â— Power of sale clause â— Acceleration and alienation clauses â— Riders such as prepayment penalties or the terms of an adjustable-rate mortgage",Thursday
"What type of home loan is for seniors ages 62 and older, who have paid off their mortgage or paid off a large part of the mortgage.?",Reverse Mortgage,Thursday
"There are 3 types of reverse mortgages, what are they?",â— Single-purpose reverse mortgages â— Home equity conversion mortgages (HECMs) â— Proprietary reverse mortgages,Thursday
"What type of reverse mortgage is the least expensive option for a reverse mortgage loan? It is only used for a single, lender-approved item like repairs to the home or property taxes.",Single-purpose reverse mortgages.,Thursday
"What is the most widely used reverse mortgage because it carries no income limitations or medical requirements, and the loan can be used for any reason.",Home equity conversion mortgages (HECMs),Thursday
"What type of reverse mortgage can the borrower qualify for if the property is worth more than the $1,209,750 for 2025 ($1,149,825 for 2024)?",Proprietary reverse mortgages,Thursday
"What is a common method with a reverse mortgage, when the borrower receives a monthly check instead of making a payment?",Tenure method,Thursday
In a Reverse mortgage Instead of getting the LE and CD What disclosures does the borrower receive?,"GFE, Initial TIL, HUD-1, Final TIL",Monday
When Does a Reverse Mortgage Become due?,"When the borrower fails to pay property taxes, hazard insurance, and flood insurance (if applicable), upkeep on the home, when the last surviving borrower dies, sells the home, or no longer uses it as a primary residence.",Thursday
What is the maximum loan limit on a reverse mortgage for federally backed HECMs?,"$1,209,750 for 2025 ($1,149,825 for 2024)",Thursday
What is an Adjustable-Rate Mortgage?,"A mortgage when the interest rate stays the same, typically for the first year or a few years, and then it begins to adjust periodically. Once the rate begins to adjust, the changes to the interest rate are based on the market.",Thursday
What is a Hybrid Mortgage?,Combination of fixed rate and adjustable-rate mortgage. It begins with a fixed interest rate for a set period and then the rate will adjust according to loan terms.,Thursday
What is a Convertible ARM?,An adjustable-rate mortgage (ARM) that gives the borrower the option to convert to a fixed-rate mortgage after a specified period of time (Conversion Clause).,Thursday
What is an Option ARM?,"Type of adjustable-rate mortgage where the borrower has several options, option ARMs have alternative payment options where the borrower can make significantly smaller payments by making interest-only payments or minimum payments.",Thursday
"What is the benchmark rate thatâ€™s connected to an adjustable rate mortgage called? It is a variable rate that can increase or decrease over time, following the movements of current market conditions.",Index,Thursday
What are the 5 common indices?,â— A cost of funds index (COFI) â— The Cost of Savings Index (COSI) â— Secured Overnight Financing Rate (SOFR) â— The U.S. Treasury â— The prime rate,Thursday
What is the Margin when it comes to Adjustable Rate Mortgages?,The number of percentage points (usually 2% or 3%) added to the index by the mortgage lender to set the interest rate on an Adjustable-Rate Mortgage (ARM) after the initial rate period ends. Reflects the lender's profit and overhead.,Thursday
How do you get a fully indexed rate?,Index + Margin = Fully Indexed Rate.,Thursday
What are the 3 types of Rate Caps on an Adjustable Rate Mortgage?,â— The initial adjustment cap limits how much the rate can increase when the rate first adjusts â— The periodic adjustment cap (Subsequent) limits how much the rate can increase from one adjustment period to the next â— The lifetime adjustment cap limits how much the rate can increase or decrease over the life of the loan,Thursday
What is the introductory rate charged on adjustable rate mortgages that entices borrowers by charging a low initial rate called?,Teaser Rate,Thursday
What is the lowest interest rate that the ARM may adjust called?,Floor Rate,Thursday
What occurs when suddenly the rate or payment increases to a large amount that is to be paid all at once?,Payment Shock,Thursday
What are the 2 popular types of Construction mortgage?,â— A construction-to-permanent (Take Out) loan â— Stand-alone construction loan,Thursday
What is a construction-to-permanent (Take Out) loan?,A loan that converts to a permanent mortgage when the construction is completed. The financing option has two parts: a loan to cover the costs of construction and a mortgage on the finished home.,Thursday
What is a Stand-alone construction loan?,"When the borrower does not need permanent financing. The loan will likely have a very short-term repayment period. When the construction is complete and the home is built, the borrower will owe the full amount due.",Thursday
What are examples of ALT-A Loans?,"â— No Income No Assets (NINA) â— Stated Income, Stated Assets (SISA) â— No Income Verified Assets (NIVA) â— Stated Income Verified Assets (SIVA) â— No Doc â— No Ratio",Thursday
A fully amortized loan that the interest rate on the mortgage will not change over the lifetime of the loan and the borrowerâ€™s principal and interest will remain the same each month? Typically 15/30 years.,Fixed Rate Mortgage,Wednesday
A transaction in which an existing obligation that was subject to a secured lien on residential real property is satisfied and replaced by a new obligation?,Refinance,Thursday
"Structured as a typical 30-year principal and interest loan for a set period, such as 5, 7, 10 years. But at the end of the term, a lump sum payment, equal to the remaining balance that is owed is due.",Balloon Mortgage,Wednesday
What are 3 typical requirements to refinance a Balloon Mortgage?,â— The home is owner occupied â— There is no second mortgage on the home â— The mortgage payments are current,Thursday
What is a Term Mortgage or Straight note?,"Payments are not amortized (NON AMORTIZING). Instead, only the interest of the mortgage is paid off during the mortgage's term. When the mortgage reaches the end of its term the entire principal is due.",Wednesday
What Type of loan would Homeowners use to purchase a new home while they wait for their current home to sell? It's a short term loan.,Bridge Loan,Thursday
A mortgage product that allows the borrower to make payments every two weeks rather than once a month which will build equity in the home faster and pay less interest over the life of the loan?,Bi-weekly mortgage,Thursday
What is a Package Mortgage?,"Loan secured by real estate and in which the personal property included in the loan, such as refrigerator, washer and dryer and furniture is included in the purchase price of the house.",Thursday
"This loan can be used for major purchases or projects, such as home improvements, education, property investment or medical bills? homeowners can borrow sums that total no more than the credit limit based on the equity in the home.",Home Equity Line of Credit (HELOC),Friday
This Loan is a lump sum drawn from equity in the home. It is paid back at a fixed interest rate for the life of the loan. The borrower is NOT permitted to re-borrow any portion of the loan until it has been repaid to the lender.,Fixed Home Equity Loan,Friday
"These types of loans are for borrowers with a below-average credit classification, tarnished or limited credit history, and these loans are subject to higher than average interest rates? These loans are very risky.",Subprime Loans,Friday
What is a Blanket Mortgage?,"Single mortgage that covers two or more pieces of property. Commonly used by developers, real estate investors, and flippers.",Thursday
Piggyback loan,"when a borrower takes out a first and second mortgage at the same time, on the same property. This is the simultaneous origination of multiple loans on the same collateral. Borrowers often get piggyback loans to avoid paying PMI, higher interest rates, using a down payment assistance program offered.",Wednesday
"Seller Financing,","Also known as a carry-back loan, is a real estate agreement where the seller handles the mortgage process instead of a financial institution. Instead of applying for a conventional bank mortgage, the buyer signs a mortgage with the seller.",Wednesday
What is a Wraparound mortgage?,"Form of owner or seller financing. The buyer gets a mortgage that includes, or â€œwraps around,â€ the existing mortgage the seller has on the property.",Thursday
What is a Purchase Money Mortgage?,"Type of seller financing, where a mortgage is issued to the borrower by the seller of a home as part of the purchase transaction. This is usually in situations where the buyer can not qualify for a mortgage through traditional lending channels.",Thursday
What is a holding or a seller held mortgage?,A short term type of seller financing where a seller lends money to a buyer to purchase their house and transfers the title once the borrower pays off the debt.,Thursday
What is it called when the original mortgagee transfers the mortgage to a lender or investor?,Assignment of mortgage,Thursday
What is a Due-on-sale clause/Alienation clause?,Requires the borrower to repay the lender in full upon the sale or conveyance of interest in the property that secures the mortgage.,Thursday
What is an Acceleration clause?,a clause that allows lenders to demand the remainder of an outstanding payment balance if the borrower defaults.,Thursday
What is an escalator or escalation clause?,A provision in a sales contract that states the borrower will allow his offer to increase if another offer is higher.,Thursday
What is a Prepayment Privilege Clause,"Allows the borrower to pay all or part of a debt prior to its maturity date, without risk of penalty.",Thursday
What is a Prepayment Penalty Clause?,Allows the lender to charge a fee to the borrower if the loan is paid off early.,Thursday
What is a Defeasance clause?,Requires the borrower to receive the legal title to the property once the loan has been paid off in full. This is done in title theory states.,Thursday
What is an Open end clause/Future advance clause?,A mortgage clause that allows a borrower to get additional money from the same mortgage loan.,Thursday
What is a Power of sale clause?,Allows for foreclosure without judicial review. The lender must follow specific guidelines and procedures to take action. Done in title theory states.,Friday
What is a Subordination Clause?,When a Loan is refinanced and has a second mortgage it allows the new mortgage to become a senior lien and the senior lien to become a junior lien position.,Thursday
What is an Exculpatory Clause?,States the lender cannot acquire the borrowerâ€™s assets as collateral for the mortgage if the sale of the home was not sufficient. Can not file a deficiency judgment.,Thursday
What is a Conversion clause?,A provision within an adjustable-rate mortgage loan that allows a borrower to switch from an ARM to a fixed-rate mortgage.,Thursday
What is a Partial release clause?,Allows the borrower to sell parcels out of a blanket mortgage as they are sold and use the funds to purchase another property.,Thursday
What is an Assumable mortgage clause?,"Allows the buyer to take over mortgage payments for an existing loan. The original homeowner is released from any liability toward the loan, while the buyer assumes responsibility for the mortgage payments and ownership of the property.",Thursday
What is a Recast clause?,Is a contract provision that allows a lender to adjust the payments on an adjustable rate mortgage periodically so as it becomes fully amortizing.,Wednesday
What is Flood Insurance?,"Required on properties that are in the designated flood areas, and must be maintained and current for the life of the loan. It covers dwellings for losses due to flooding. It is not part of homeowner's hazard insurance.",Friday
NFIP is managed by who?,Federal Emergency Management Agency (FEMA),Friday
Locations where residents are required to buy flood insurance are called what?,Special Flood Hazard Areas (SFHA),Friday
What determines if an area is a Special Flood Hazard Area (SFHA)?,"According to FEMA, SFHA zones have a 1% or greater chance of being inundated by a flood event annually. The agency defines this 1% probability as the ""base flood"" or ""100-year flood"" event.",Wednesday
What are the 3 types of flood zones?,â— High-risk flood zones â— Moderate flood zones â— Low flood risk zones,Friday
What is the High-risk flood zone?,The greatest risk of experiencing a flood. The homes that are in these flood zones are designated with an A or V. Zone A designates inland flood zones while Zone V indicates coastal areas.,Friday
What is the Moderate flood zone?,Flood Zones B and X live in areas with low-to-moderate flood risk. Flood insurance is not always required in this zone.,Friday
What is the Low flood zone?,Flood Zone C and X are low-risk areas.These zones usually have minimal flooding. Low risk does not require flood insurance.,Friday
What is the minimum and maximum amount of flood insurance required?,"Minimum of $100,000 and a maximum of $250,000.",Friday
Flood certification,Determines whether the property falls under a flood zone. The lender will order the flood certification and will charge the flood certification fee to the buyer.,Friday
"A form of real property, including all things that are permanently attached to it, whether natural or man made?",Real estate,Friday
Dwelling,"A residential structure that contains 1 to 4 units, which is or is not attached to real property. This would also include mobile homes and trailers if used as a residence, and individual condominium units and cooperative units.",Friday
Multi-family residence,"A residential property with 2 to 4 individual housing units (duplex, triplex or quadplex).",Friday
Real Property,"Fixed property, example land and buildings.",Friday
Freehold estates,"Involves ownership, A freehold estate is an estate in which the owner has exclusive rights to enjoy the possession of a property for an undefined length of time.",Thursday
What are 2 types of Freehold Estates?,â— Fee simple â— Life estate,Friday
Fee simple,"Type of ownership which the owner is entitled to all rights on the property. It is the highest type of interest in real estate recognized by law. Owner can choose what they want to do with the property, whether they sell it or will it.",Friday
Life estate,"The type of ownership in which the owner owns the property for their life. When the life estate holder dies, the life estate reverts back to the original grantor or whoever they left it to.",Thursday
Assessed value,"The value of a property, which is established by a public tax assessor. The assessed value is used to determine property taxes.",Wednesday
Escrow account,"Set up by the lender for the borrower to pay monthly property taxes, homeowner's insurance and PMI on the mortgage. The Lender issues an escrow analysis to show what was paid out and the amount of the upcoming year's escrow payments.",Wednesday
A mortgage rider,"An appendix to the mortgage documents. Its main purpose is to include special terms, conditions and situations affecting the loan that are not present in the main mortgage document.",Thursday
Lender,The creditor or creditors named in the debt obligation and document creating the lien.,Thursday
Credit Unions,"Are created, owned, and operated by their participants. They are a non profit financial institution that is federally regulated and owned by its members who use their services and provide traditional banking services to their members.",Wednesday
Natural person,A human being,Friday
Legal person,"An entity that is seen in the eyes of the law as having certain rights and privileges; that, while not human, is permitted to assert a legal claim, or be subjected to legal duties. For example, a partnership or a corporation is considered a legal person.",Friday
Co-borrower,An additional person who assumes equal responsibility for repayment of a loan and is fully obligated under the terms of the loan. This person also has equal rights to the proceeds of the loan.,Friday
Co-signer (Guarantor),An additional person added to the promissory note but is not on the home's title and has no ownership in the property.,Thursday
Collateral,"An asset, such as a car or a home, which is used for securing the repayment of a loan. The borrower risks losing the asset if the loan is not repaid.",Thursday
Collection,The efforts used to bring a delinquent loan current and is reported on the credit report as a derogatory account.,Tuesday
Contingency,A specified condition in a sales contract that must be satisfied before the home can sell. The 2 most common contingencies are that the house must pass inspection and that the borrower must be approved for a loan.,Friday
Appraisal contingency,A contingency in a sales contract that the property must appraise at a value that is equal to or greater than your offering price.,Wednesday
Conveyance,Transfers ownership of property from one entity to another.,Thursday
Reconveyance,"Occurs when a loan is paid off in title theory states, legal title is transferred from the trustee to the trustor.",Thursday
Default,A failure to make mortgage payments on time or to meet other terms of a loan. Default can lead to foreclosure.,Thursday
Fair market value,The selling price of a home. The fair market value is determined by an appraisal.,Wednesday
Per Diem,The amount of interest paid each day for the mortgage. This will determine the interest costs between the closing day and the day the monthly payments start.,Thursday
Homeowners insurance,Required by the lender for anyone who has a loan on a property and protects the homeowner against damage to the property for certain things.,Friday
How much of homeowners insurance must be paid prior to or at closing?,12 months,Friday
A home inspection,"Different from a home appraisal. An appraisal gives you a rough estimate of how much a home is worth, but an inspection tells you about specific problems in the home.",Wednesday
The primary mortgage market,Where home loans originate before theyâ€™re sold to investors in the secondary mortgage market. The Lender deals directly with the borrower.,Thursday
The secondary mortgage market,Where home loans and servicing rights are bought and sold between lenders and investors. A large percentage of newly originated mortgages are packaged into mortgage-backed securities and sold to investors on the secondary market.,Wednesday
Direct lender or investor,A financial institution or private entity that actually provides the loan for a mortgage which may be banks and other financial institutions. This happens on the primary market with no mortgage broker involved.,Thursday
Table funding,"Originated by a mortgage broker that closes a federally related mortgage loan in its own name, and the lender/investor is the person to whom the obligation is assigned to after settlement. Table funding only occurs in Wet settlement states.",Thursday
Wet settlement (wet funding),Occurs in states that require all paperwork to be completed and loan to be funded the day of closing.,Friday
Dry Settlement (Dry funding),"Occurs in states that parties get together to sign mortgage documents, but all of the paperwork required to officially close the loan doesnâ€™t have to be completed at closing. There are no mortgage funds distributed to the seller on that day.",Thursday
Mortgage-backed securities (MBS),A pool (bundle) of loans from the principal and interest from residential mortgage loans. The bank handles the loans on the primary market and then sells them at a discount to be packaged as MBSâ€™s to investors as a type of collateralized bond on the secondary market.,Wednesday
Mortgage term,The number of years the borrower will pay on the loan before they pay off their mortgage.,Thursday
Net Tangible Benefit,"The financial advantage a borrower gains by refinancing. When the loan is refinanced, the borrower is taking on a completely new loan and it is a requirement that there is a net tangible benefit to the borrower.",Friday
A traditional mortgage,Defined as a 30 year fixed mortgage. Anything else is considered non-traditional.,Thursday
Interagency Guidance on Nontraditional Mortgage Product addresses what?,Nontraditional mortgage risks associated with the growing use of mortgage products that allow borrowers to defer payment of principal and interest.,Wednesday
Risk-layering,"Refers to the cumulative effect of multiple risk factors, such as lower credit scores, higher DTI, interest only loans, not having the ATR, ect.",Tuesday
Equity,The difference between the fair market value (appraised value) of your home and your outstanding mortgage balances and other liens.,Wednesday
Sweat equity,"Used by homeowners or investors by doing repairs and renovations on properties by themselves before putting them on the market. Paying carpenters, painters, and contractors can get extremely pricey, so a do-it-yourself renovation using sweat equity can be profitable when it comes time to sell.",Friday
Closing costs,"The upfront fees associated with getting a mortgage. They include a variety of expenses paid at the time of consummation, such as a credit report fee, title search fee, an appraisal fee, and others.",Tuesday
Settlement agent,"May be an attorney, a title insurer, a title agent or an escrow agent used to close the mortgage loan. The settlement agent gives the CD to the seller and the Lender gives it to the borrower.",Thursday
Earnest money,"A deposit a homebuyer makes when entering into a purchase contract for a home. At consummation, the earnest money can go toward the down payment or closing costs.",Friday
Appreciation,"An increase in the value of property over time. Factors in a homeâ€™s appreciation are its condition, location and the selling price of similar homes in the area.",Friday
Depreciation,"A reduction in the value of a property with the passage of time, due in particular to wear and tear. Can be applied to assets you use in a business or as an investment.",Wednesday
Physical deterioration,"A decrease in a propertyâ€™s value as its physical condition is slowly wearing and tearing, or it is caused by elements over time.",Wednesday
Functional obsolescence,The reduction of an object's usefulness or desirability because of an outdated design feature that cannot be easily changed or updated.,Wednesday
Economic obsolescence,Refers to the loss of value of a real estate property due to factors that are external to the property. Economic obsolescence is beyond the control of property owners.,Wednesday
Liquid Assets,"Assets that can be easily converted into cash quickly. Some examples are cash, U.S. Treasury bills, bonds or notes, mutual funds, money market funds, stocks, and retirement investment accounts.",Thursday
Non-liquid assets,"Items that must be sold to convert to cash. These include land and real estate investments, art, cars, jewelry, collectibles, and antiques.",Friday
Liabilities,"Liabilities are debts. Examples of liabilities include credit card balances, mortgages, and installment loans.",Thursday
Open-end mortgages,Permits the borrower to go back to the lender and borrow more money. There is usually a set dollar limit on the additional amount that can be borrowed and does not have an amortization schedule.,Wednesday
A closed-end mortgage,"loan that has an amortization schedule. These generally cannot be renegotiated, repaid, or refinanced until the entire mortgage has been paid off.",Wednesday
Mortgage recast,Is a feature of some types of mortgages where remaining monthly payments are recalculated with a new amortization schedule to ensure the loan is fully amortized.,Wednesday
Assumable loan,A loan that may be transferred to someone else while maintaining the same terms.,Thursday
Novation,"When a borrower takes over the payments for a mortgage, the original borrower is released from all liability and a new obligation is created with the same terms and interest rate from the old loan.",Thursday
Subject to mortgage,"When the borrower is essentially buying the home subject to the existing mortgage. The seller is not paying off the original mortgage with the sale, instead the new borrower is making the payments on the existing mortgage. The borrower makes payments to the seller.",Thursday
Purchase agreement,A written contract signed by the borrower and seller stating the terms and conditions under which a property will be sold.,Friday
Warehouse line of credit,"Allows a lender/investor to finance a loan without using its own capital, they will get a warehouse line of credit to fund the loan.",Wednesday
A Power of Attorney (POA),Legal authorization that gives a designated person the power to act for someone else. A POA gives the agent or attorney-in-fact the authority to act on behalf of the person.,Friday
What does a valid real estate contract include?,"â— The party must be the legal age of 18 or older and deemed mentally competent. â— A contract cannot be enforced if the object is considered to be against a public policy or illegal, depending upon the particular jurisdiction. This is known as lawful Object. â— A clear and specific consideration must be included in the agreement. This will be something of value. â— The contract must hold mutual consent and must be agreed upon by both parties.",Friday
Hypothecation,"When the home serves as collateral, the bank does not have any claim on cash flows or income generated from it",Thursday
Fiduciary duty,"Occurs when a fiduciary acts responsibly in the best interests of a client. A fiduciary must maintain the confidentiality of all information relating to the beneficiary. They must not use any form of it, whether written or spoken, for their personal gain.",Thursday
Real estate Transfer Taxes,"State and local taxes charged for the transfer of real estate, this amount is typically equal to a percentage of the sales price.",Friday
Capital Improvements,Is the addition of a structural change or the improvements that will either enhance the property's overall value.,Friday
Capital Gain,The profit received based on the difference between the original purchase price and the total sale price. Capital gain refers to the increase in the value of a capital asset when it is sold.,Friday
Estoppel letter,Is the payoff letter from any lien holder requesting what the payoff is prior to closing.,Thursday
Mortgage broker,"Middleman who connects borrowers and mortgage lenders together, but who does not fund their own loans.",Thursday
Mortgage banker,"A company, individual, or institution that originates mortgages. Mortgage bankers use their own funds, or funds borrowed from a warehouse lender, to fund mortgages.",Wednesday
An application,"A request for a mortgage loan which requires information about the borrower that is necessary in order to make a decision. Remember, this is not the same as a completed application. This is the initial application that is received prior to giving a pre-qualification or pre-approval.",Thursday
Pre-qualification,"An informal evaluation of how much home you can afford based on what information is stated by the borrower like credit, debt, income and assets.",Friday
Pre approval,A document that says how much the borrower can afford to take out in a home loan. Many lenders consider the preapproval to be the first step in getting a mortgage.,Thursday
Loan commitment,A formal notification from a lender stating that the borrowerâ€™s loan has been conditionally approved and specifying the terms under which the lender agrees to make the loan.,Friday
W2,Details the Borrower's income and the various local and federal taxes withheld from their income and is provided by the employer annually.,Friday
Pay stub,"Essentially proof of a paycheck. Itâ€™s a document that an employee receives with their paycheck that states their personal information including gross and net pay, current pay rate, number of hours worked for the pay period, any deductions.",Friday
Net worth,Is calculated with a simple formula: assets (what you own) minus liabilities (what you owe).,Friday
Profit and loss (P&L) statement,"A financial statement that summarizes the company's income and expenses during a specified period, usually quarterly or fiscal year.",Friday
Balance Sheet,"Dated financial statement (in table form) that shows the company's assets, liabilities and net worth.",Wednesday
Down payment,"The amount a borrower pays upfront, that goes toward the purchase of a property, then the borrower will get the rest of the purchase in the form of a mortgage.",Thursday
Reserves,The amount of savings balances that will be in the borrower's bank account prior to closing on their home purchase. These reserves are considered emergency funds.,Friday
Par Interest Rate,A rate of interest on a loan for which the lender does not charge points (break-even).,Friday
Average prime offer rate,"Derived from average interest rates, points, and other loan pricing terms currently offered to consumers for mortgage transactions that have low-risk pricing characteristics.",Thursday
Debt,"A debt arrangement that gives the borrowing party permission to borrow money under the condition that it is to be paid back at a later date, usually with interest.",Friday
What are Credit documents?,"Includes credit reports, employment, income, and asset documentation.",Tuesday
"For all mortgage loans, the credit documents must be no more than How many days old on the note date?",4 months/120 days,Thursday
Charge-Off,The amount of principal and interest due on a loan that is written off when the creditor decides this amount is not going to be collected.,Wednesday
Chapter 7 Bankruptcy,Type of bankruptcy requiring that assets be used in exchange for the cancellation of debt. It is the simplest and most common type of bankruptcy. Chapter 7 bankruptcy can remain on a credit report for up to 10 years.,Tuesday
Chapter 13 Bankruptcy,type of bankruptcy which establishes a payment plan between the borrower and the creditor and is monitored by the court. It allows individuals with regular income to have a plan to repay their debts.,Friday
Debt-to-income ratio (DTI),"The percentage of your gross monthly income that goes to paying your monthly debt payments and is used by lenders to determine your borrowing risk. To calculate DTI, change the T to a division sign (Debt divided by income).",Friday
The front-end (Housing Expense),"Calculates how much of a person's gross income is spent on housing costs (mortgage payments, mortgage insurance, taxes, hazard/flood insurance, HOA if applicable) divided by gross income. PITI / Gross Monthly Income = Housing Expense ratio.",Thursday
Back end (Total Obligation Expense),"Indicates what portion of a person's monthly income goes toward paying debts. Total monthly debt includes monthly expenses like PITI, credit card payments, child support, and other loan payments and revolving debt shown on the credit report. PITI + Debts / Gross Monthly Income = Total Obligation Expense ratio.",Tuesday
Automated Underwriting System (AUS),An electronic standard underwriting procedure that provides a computer generated loan decision.,Friday
Underwriter,"Ensures that a loan applicant meets all of the requirements, and they conditionally approve or deny a loan. The underwriter is responsible to assess the borrower's risk and the property.",Friday
What are the 4 things all lenders learn and underwriters use to make loan decisions?,â— Capacity â— Capital (Cash) â— Credit/Character â— Collateral,Thursday
What C of underwriting is the borrowerâ€™s ability to repay the loan based on the debt to income ratios?,Capacity,Monday
"What C of underwriting is a review of the Borrowerâ€™s finances and the condition of their financial state? There are two separate parts here â€“ cash brought for closing (down payment, closing costs, escrow) and cash for reserves.",Capital,Friday
What C of underwriting is based on an analysis of the borrowerâ€™s credit report? Shows the borrowers payment history and the willingness to repay the loan.,Credit/Character,Tuesday
What C of underwriting refers to the security of the loan based on the property? An appraisal is performed by a licensed appraiser to provide the value of the property.,Collateral,Wednesday
Self-employed borrowers must have at least ____% of ownership in the business.,25% of ownership in the business.,Friday
Self-employed borrowers Income verification is required and needs to show ____ years of personal and business income tax returns.,2 years of personal and business income tax returns.,Friday
Lenders will look back how many months on mortgage or rent payments?,12 Months,Thursday
A minimum history of how many years of employment income is needed.,2 years,Friday
What percentage of rental income from 1007 will the underwriter use?,0.75,Friday
How much is untaxed public assistance grossed up?,0.25,Friday
What are some examples of public assistance income?,â— Social security (self and on behalf of a dependent child) â— Department of Veterans' Affairs benefits (except Veteran's pension) â— Child support â— Workers' compensation/unemployment,Wednesday
When can Unemployment income be used as qualifying income?,"If the unemployment is part of the borrowerâ€™s natural work cycle, and they must show the unemployment income on the last 2 years income tax returns.",Friday
"For retirement, pension income, child support and alimony to be considered as income it MUST continue beyond how many years of the application date?",3 years,Friday
Which form allows a taxpayer to authorize the right of any person or company to review their personal tax information from any given year?,IRS Form 8821,Friday
Which form provides access to specific information regarding borrower-requested tax years?,IRS Form 4506-C,Friday
Monthly payments on installment debts need to be counted if there are how many months of payments remaining?,10 or more monthly payments remaining. Unless it's a lease.,Friday
"If a revolving debt does not show a minimum monthly payment amount, What % of the outstanding balance must be used as the monthly payment?",5% of the outstanding balance must be used as the monthly payment.,Friday
"If the credit report does not provide a monthly payment for the student loan, the lender must determine the qualifying monthly payment using a payment equal to what percent of the outstanding balance?",â— 1% of the current balance for Fannie Mae â— .5% of the current balance for Freddie Mac â— .5% of the current balance for FHA,Tuesday
